,,,,,,,,,,,,,,,"Do not use in model, ok to use to test",
YE13RXP,2021-04-25,average,7.9,"55,000",1,partial,Nissan,Juke,Manual,Petrol,White,SUV,"£3,352",,"£2,467","£3,055"
LL64AKN,2021-04-25,good,6.4,"98,000",1,full,SEAT,Leon,Manual,Petrol,Black,Hatchback,"£4,898",,"£4,786","£4,441"
A9KMM,2021-04-25,good,10.1,"158,000",2,full,Volvo,V50,Manual,Diesel,Silver,Estate,"£1,402",,"£1,187","£1,316"
YP64UGF,2021-04-25,good,6.5,"43,300",1,partial,Fiat,500,Manual,Petrol,White,Hatchback,"£3,156",,"£2,784","£3,172"
LX61XPN,2021-04-25,average,9.7,"49,567",3,none,Toyota,AYGO,Manual,Petrol,Red,Hatchback,"£1,536",,"£1,036","£1,292"
NV15NYO,2021-04-25,poor,5.8,"60,000",1,partial,SEAT,Ibiza,Manual,Petrol,Grey,Hatchback,"£3,374",,"£3,114","£2,773"
GY06UWB,2021-04-25,good,15.1,"86,300",2,partial,Citroen,C3,Manual,Petrol,Silver,Hatchback,£150,,£50,£235
YE59FZL,2021-04-25,good,11.4,"114,200",3,partial,Ford,Fiesta,Manual,Diesel,Green,Hatchback,£975,,£654,"£1,034"
NV63LND,2021-04-25,average,7.3,"45,000",3,partial,Citroen,DS3,Manual,Petrol,Red,Hatchback,"£3,199",,"£2,325","£2,655"
LC12VUW,2021-04-25,poor,8.9,"100,500",1,full,BMW,3 Series,Manual,Diesel,Grey,Estate,"£3,279",,"£2,052","£2,491"
SA60UTF,2021-04-25,average,10.6,"73,467",2,none,Honda,Civic,Manual,Petrol,Silver,Hatchback,"£2,502",,"£1,922","£2,162"
OY60WCG,2021-04-25,average,10.6,"115,000",1,full,Vauxhall,Zafira,Manual,Diesel,Grey,MPV,£751,,£705,£963
BN60EFA,2021-04-25,average,10.6,"86,000",4,partial,Ford,Mondeo,Manual,Diesel,Black,Hatchback,"£1,416",,"£1,201","£1,269"
LR08BKJ,2021-04-25,average,13.1,"128,000",2,partial,Saab,9-3,Manual,Diesel,Black,Saloon,£155,,£234,£376
GJ56USN,2021-04-25,poor,14.6,"106,000",1,partial,Ford,Focus,Manual,Petrol,Blue,Hatchback,£150,,£202,£305
YF58UHV,2021-04-25,excellent,12.3,"54,000",1,full,Mercedes-Benz,E Class,Automatic,Diesel,Grey,Saloon,"£3,677",,"£4,350","£2,890"
FL57WZO,2021-04-25,poor,13.6,"156,000",1,partial,Toyota,Yaris,Manual,Petrol,Silver,Hatchback,£240,,£331,£352
SD12YOW,2021-04-25,good,9,"53,900",4,full,Mercedes-Benz,E Class,Automatic,Diesel,White,Coupe,"£6,888",,"£5,599","£5,499"
YR12CNK,2021-04-25,poor,9.1,"88,000",2,none,Ford,C-Max,Manual,Diesel,Blue,MPV,"£2,485",,"£1,787","£1,645"
WN62JKU,2021-04-25,good,8.6,"54,000",1,full,Mercedes-Benz,C Class,Automatic,Diesel,Grey,Coupe,"£6,604",,"£6,324","£6,157"
KM09LUB,2021-04-25,good,11.9,"108,000",2,partial,Volkswagen,Passat,Manual,Diesel,Black,Saloon,"£1,116",,£705,"£1,104"
PJ08RBY,2021-04-25,poor,13,"170,000",4,none,Vauxhall,Astra,Manual,Petrol,Black,Hatchback,£150,,£50,£117
Y8WAH,2021-04-25,good,12.6,"117,000",1,none,Renault,Clio,Manual,Petrol,Silver,Hatchback,£239,,£263,£446
BG10TXW,2021-04-25,good,10.8,"40,000",1,partial,MINI,Hatch,Automatic,Petrol,Red,Hatchback,"£4,462",,"£4,096","£3,924"
SS16AEO,2021-04-25,good,4.8,"72,500",2,full,Hyundai,Tucson,Automatic,Diesel,Grey,SUV,"£8,360",,"£8,034","£8,225"
YY58CFX,2021-04-25,average,12.5,"34,000",1,partial,Citroen,C1,Manual,Petrol,Grey,Hatchback,"£1,202",,£624,"£1,034"
WG11EJU,2021-04-25,average,9.8,"66,770",3,partial,Nissan,Qashqai,Manual,Petrol,Black,SUV,"£3,225",,"£2,692","£2,984"
VO11VCG,2021-04-26,poor,9.7,"99,000",2,partial,Citroen,C3,Manual,Diesel,Grey,Hatchback,£875,,£336,£705
MD65MZG,2021-04-26,average,5.3,"98,000",1,full,Audi,A3,Manual,Diesel,Black,Hatchback,"£5,851",,"£5,492","£5,358"
AF07NZP,2021-04-26,average,14.1,"99,354",2,full,Nissan,Qashqai,Manual,Petrol,Grey,Hatchback,"£1,523",,"£1,015","£1,222"
LT57OZL,2021-04-26,poor,13.6,"118,586",1,full,Ford,S-Max,Manual,Petrol,Blue,MPV,£752,,£361,£681
WV12BYZ,2021-04-26,good,9.2,"80,000",2,full,Mazda,Mazda3,Manual,Diesel,Grey,Hatchback,"£1,871",,"£1,590","£1,903"
VU58ZRL,2021-04-26,poor,12.4,"95,000",4,partial,BMW,1 Series,Manual,Diesel,Blue,Hatchback,"£1,457",,£632,£893
HW11AEF,2021-04-26,excellent,9.8,"91,000",3,partial,BMW,5 Series,Manual,Diesel,Black,Saloon,"£4,203",,"£4,105","£3,783"
OY12YHJ,2021-04-26,average,9.1,"128,000",1,partial,Land Rover,Discovery 4,Automatic,Diesel,Black,SUV,"£10,415",,"£10,115","£8,836"
BP08ZVE,2021-04-26,poor,12.7,"44,000",1,partial,Nissan,Note,Automatic,Petrol,Grey,Hatchback,"£2,026",,"£1,522","£1,480"
FY16WHJ,2021-04-26,good,5,"60,850",1,full,Audi,A4 Avant,Manual,Petrol,Black,Estate,"£8,680",,"£7,994","£7,708"
YY63YEF,2021-04-26,excellent,7.3,"31,500",2,full,Kia,Picanto,Manual,Petrol,White,Hatchback,"£2,569",,"£2,500","£2,679"
RV59JYY,2021-04-26,poor,11.6,"168,000",3,none,Honda,CR-V,Manual,Diesel,Black,SUV,£987,,£694,£940
LY15HMV,2021-04-26,good,5.8,"64,000",1,full,Audi,A1,Manual,Diesel,White,Hatchback,"£5,918",,"£5,947","£5,969"
BL64YFA,2021-04-26,good,6.2,"60,000",1,partial,Nissan,Qashqai,Manual,Petrol,White,SUV,"£6,423",,"£5,777","£6,110"
GL60KYH,2021-04-26,poor,10.2,"77,015",1,partial,Peugeot,308,Manual,Diesel,Grey,Hatchback,"£1,575",,£589,£987
YY57ETR,2021-04-26,good,13.5,"119,000",4,partial,Peugeot,207,Manual,Diesel,Black,Hatchback,£290,,£133,£399
CE65YJN,2021-04-26,average,5.6,"67,000",1,partial,Hyundai,i20,Manual,Petrol,Black,Hatchback,"£3,835",,"£3,526","£3,384"
DY65FKJ,2021-04-26,good,5.6,"50,000",2,partial,Vauxhall,Astra,Manual,Petrol,Grey,Hatchback,"£3,851",,"£3,400","£3,642"
HJ14LFK,2021-04-26,good,7,"74,000",1,full,Ford,Focus,Manual,Diesel,Black,Hatchback,"£2,829",,"£2,752","£2,843"
ET11WCL,2021-04-26,good,9.7,"55,000",3,none,Ford,Focus,Manual,Petrol,Silver,Hatchback,"£2,956",,"£2,247","£2,937"
MK10CFP,2021-04-26,good,11.2,"138,409",2,full,Mercedes-Benz,M Class,Automatic,Diesel,White,SUV,"£4,504",,"£3,794","£3,783"
HN10EBX,2021-04-26,poor,11.1,"69,300",2,partial,Ford,Fiesta,Manual,Petrol,Red,Hatchback,"£2,154",,"£1,537","£1,504"
YB08YJJ,2021-04-26,excellent,12.8,"25,000",2,none,Toyota,AYGO,Manual,Petrol,Blue,Hatchback,"£1,345",,"£1,310","£1,363"
AY60XME,2021-04-26,poor,10.6,"106,000",2,partial,BMW,5 Series,Manual,Diesel,Black,Saloon,"£4,549",,"£3,028","£2,890"
MV10HWE,2021-04-26,poor,11.2,"74,500",1,none,Ford,Fiesta,Manual,Petrol,Blue,Hatchback,"£1,920",,"£1,305","£1,433"
BN11UPE,2021-04-26,average,9.9,"102,000",0,full,Ford,Fiesta,Manual,Petrol,Silver,Hatchback,"£1,186",,£747,"£1,128"
M16MYX,2021-04-26,excellent,5.6,"110,000",2,partial,Audi,A4,Manual,Diesel,Black,Saloon,"£5,506",,"£5,000","£5,358"
EF14LCC,2021-04-26,average,6.8,"86,000",2,full,Ford,Focus,Manual,Diesel,Blue,Hatchback,"£3,267",,"£3,016","£3,055"
KC06HAU,2021-04-26,good,14.9,"130,000",2,full,Vauxhall,Corsa,Manual,Petrol,Black,Hatchback,£150,,£105,£188
DN08VVU,2021-04-26,poor,12.9,"60,000",2,none,Nissan,Note,Automatic,Petrol,Red,Hatchback,"£1,396",,"£1,115","£1,175"
YF17EJK,2021-04-26,excellent,3.8,"70,000",3,full,Mercedes-Benz,E Class,Automatic,Petrol,Grey,Saloon,"£41,717",,"£35,000","£37,506"
PO13XKP,2021-04-26,good,7.9,"63,252",0,full,Volvo,V70,Automatic,Diesel,White,Estate,"£6,504",,"£5,473","£5,828"
LV61KWB,2021-04-26,good,9.5,"100,000",3,partial,Renault,Kangoo,Manual,Diesel,Blue,MPV,"£1,727",,"£1,196","£1,880"
S29LWM,2021-04-26,excellent,6.6,"80,000",2,full,BMW,2 Series,Manual,Diesel,White,Coupe,"£6,485",,"£7,295","£6,721"
EA07RVN,2021-04-26,average,14.1,"96,000",1,full,Volkswagen,Golf,Manual,Petrol,Grey,Hatchback,"£1,149",,£710,"£1,034"
WU06YNM,2021-04-26,poor,15.1,"150,800",2,partial,Mazda,Mazda6,Automatic,Petrol,Silver,Hatchback,£150,,£178,£164
MA09NEJ,2021-04-26,poor,11.9,"151,100",4,partial,Fiat,Grande Punto,Manual,Petrol,Black,Hatchback,£234,,£305,£211
NL63KUX,2021-04-26,excellent,7.6,"50,800",2,full,BMW,X6,Automatic,Diesel,Blue,SUV,"£14,955",,"£14,710","£13,066"
SV61VNG,2021-04-26,average,9.6,"100,600",1,none,Kia,Rio,Manual,Petrol,Black,Hatchback,£581,,£420,£658
EJ62LWC,2021-04-26,average,8.4,"83,372",4,partial,Ford,Focus,Manual,Petrol,White,Estate,"£2,805",,"£1,932","£1,997"
SP62UUA,2021-04-26,good,8.7,"90,000",2,full,Toyota,Avensis,Manual,Diesel,Red,Saloon,"£3,112",,"£2,654","£2,796"
KS10LZB,2021-04-26,poor,10.8,"100,000",2,full,Volkswagen,Polo,Manual,Petrol,Silver,Hatchback,"£1,903",,"£1,194","£1,480"
FL61OBX,2021-04-26,good,9.6,"78,000",2,none,Citroen,C3 Picasso,Manual,Diesel,White,MPV,"£1,626",,£983,"£1,410"
KY58CVS,2021-04-26,good,12.7,"46,500",1,partial,Mercedes-Benz,CLK,Automatic,Petrol,Black,Coupe,"£3,142",,"£2,378","£2,773"
VO13KNG,2021-04-26,good,8.1,"68,000",1,full,Alfa Romeo,Giulietta,Manual,Petrol,White,Hatchback,"£2,591",,"£2,501","£2,420"
RF08XJG,2021-04-26,poor,12.8,"130,000",2,none,Fiat,Bravo,Manual,Diesel,Red,Hatchback,£150,,£120,£164
RK13GOE,2021-04-26,poor,8,"90,000",2,full,Citroen,C4 Picasso,Manual,Diesel,Silver,MPV,"£1,775",,"£1,352","£1,504"
YX07WHL,2021-04-26,average,14.1,"191,000",1,full,Toyota,Corolla Verso,Automatic,Petrol,Black,MPV,£150,,£373,£493
YC63CNK,2021-04-26,average,7.6,"47,835",1,partial,Ford,Fiesta,Manual,Petrol,Black,Hatchback,"£3,194",,"£2,633","£2,961"
LB60TFZ,2021-04-26,good,10.2,"95,000",2,full,BMW,3 Series,Automatic,Diesel,Blue,Estate,"£5,055",,"£4,022","£4,394"
YA08UXJ,2021-04-26,average,12.8,"97,000",4,none,MINI,Clubman,Manual,Petrol,White,Estate,"£1,424",,"£1,045","£1,292"
CE64VCT,2021-04-26,poor,6.5,"65,000",1,full,Dacia,Sandero,Manual,Petrol,Blue,Hatchback,"£1,592",,"£1,097","£1,175"
VO56TTU,2021-04-26,poor,14.7,"113,000",4,partial,Volkswagen,Polo,Manual,Petrol,Blue,Hatchback,£321,,£285,£352
DV15EPD,2021-04-26,good,6.1,"30,000",1,partial,Hyundai,i10,Manual,Petrol,White,Hatchback,"£3,495",,"£3,201","£3,407"
MJ10YKW,2021-04-26,poor,10.9,"130,000",2,partial,Nissan,Qashqai,Manual,Diesel,Black,SUV,"£1,746",,"£1,239","£1,457"
GY64EWH,2021-04-26,good,6.4,"67,000",1,full,Toyota,Yaris,Automatic,Petrol Hybrid,Black,Hatchback,"£5,322",,"£5,066","£5,358"
BH07NFH,2021-04-26,average,7,"52,000",2,full,Ford,Ka,Manual,Petrol,White,Hatchback,"£2,524",,"£1,807","£2,162"
CX15PBV,2021-04-26,good,5.8,"63,700",0,partial,Kia,Sportage,Manual,Petrol,Black,SUV,"£5,415",,"£5,282","£5,358"
NA09RGZ,2021-04-26,poor,12.1,"99,900",3,partial,Ford,Kuga,Manual,Diesel,Blue,SUV,"£2,541",,"£2,097","£1,809"
AJ12EUV,2021-04-26,poor,8.9,"160,000",4,full,BMW,1 Series,Manual,Diesel,Grey,Hatchback,"£2,189",,"£1,787","£1,974"
SN59DLY,2021-04-26,good,11.6,"45,500",4,partial,Alfa Romeo,Spider,Manual,Petrol,Blue,Convertible,"£10,405",,"£8,079","£8,319"
AJ56UTE,2021-04-26,average,14.4,"149,624",4,partial,Ford,Fiesta,Manual,Petrol,Silver,Hatchback,£150,,£145,£164
DY56FFE,2021-04-26,poor,14.7,"127,500",4,partial,Vauxhall,Vectra,Manual,Diesel,Silver,Estate,£150,,£150,£235
KN62VXS,2021-04-26,poor,8.5,"109,506",3,partial,Ford,Ka,Manual,Petrol,Red,Hatchback,£895,,£413,£705
VE63TOJ,2021-04-26,good,7.3,"100,900",4,full,Nissan,Qashqai,Manual,Diesel,Black,SUV,"£5,342",,"£4,126","£4,841"
MJ63RUA,2021-04-26,good,7.5,"66,440",1,full,Vauxhall,Corsa,Manual,Petrol,Grey,Hatchback,"£2,334",,"£2,228","£2,491"
NL13YCF,2021-04-26,excellent,8,"42,800",2,partial,Fiat,500,Manual,Petrol,Blue,Hatchback,"£2,549",,"£2,685","£2,749"
WU62UUK,2021-04-26,excellent,8.7,"30,000",1,full,Audi,A1,Manual,Petrol,Silver,Hatchback,"£6,993",,"£7,000","£6,768"
TN07NOA,2021-04-26,average,13.9,"100,000",4,none,Peugeot,207,Manual,Petrol,Grey,Hatchback,£150,,£110,£211
YP64BGK,2021-04-26,good,6.5,"40,000",1,full,Fiat,500,Manual,Petrol,Red,Hatchback,"£3,092",,"£3,002","£2,914"
AJ64DHO,2021-04-26,poor,6.3,"99,000",2,full,BMW,5 Series,Automatic,Diesel,Black,Saloon,"£7,203",,"£6,435","£6,016"
HG10EUC,2021-04-26,average,11.1,"60,000",2,partial,Ford,Fiesta,Manual,Petrol,Green,Hatchback,"£1,795",,"£1,272","£1,739"
LC10OFS,2021-04-26,good,11,"80,000",2,partial,Chevrolet,Captiva,Automatic,Diesel,Black,SUV,"£2,144",,"£1,594","£1,880"
D18JTD,2021-04-26,average,10.2,"92,000",3,partial,Vauxhall,Corsa,Manual,Petrol,Silver,Hatchback,£802,,£409,£681
OW66KWU,2021-04-26,excellent,4.2,"125,000",1,full,BMW,X5,Automatic,Diesel,Black,SUV,"£18,951",,"£18,660","£17,907"
CP57GNJ,2021-04-26,poor,13.4,"40,000",2,partial,Honda,Civic,Automatic,Petrol Hybrid,Grey,Saloon,"£2,843",,"£1,787","£1,903"
L14DAA,2021-04-26,good,9.5,"72,900",1,full,Land Rover,Range Rover Evoque,Manual,Diesel,Grey,Coupe,"£9,495",,"£9,577","£8,648"
LT13LHA,2021-04-26,good,8.2,"25,040",2,full,Toyota,GT86,Automatic,Petrol,Grey,Coupe,"£10,298",,"£10,003","£9,494"
AD09HLY,2021-04-26,average,11.9,"54,000",3,full,Hyundai,i20,Manual,Petrol,Black,Hatchback,"£1,117",,"£1,004","£1,222"
FN60LDC,2021-04-26,average,10.6,"47,000",4,partial,Ford,Fiesta,Manual,Petrol,Blue,Hatchback,"£2,780",,"£1,851","£2,044"
BD57YBG,2021-04-26,average,13.5,"80,000",2,partial,Honda,Civic,Manual,Diesel,Black,Hatchback,"£1,335",,£490,"£1,104"
AX65EOZ,2021-04-26,good,5.3,"69,000",2,partial,Citroen,C4 Cactus,Manual,Diesel,Blue,Hatchback,"£4,132",,"£3,474","£3,877"
RO10YZM,2021-04-26,good,11,"43,078",2,full,Peugeot,207,Manual,Petrol,Grey,Hatchback,"£1,323",,£719,"£1,198"
FL59UAU,2021-04-26,good,11.6,"99,000",4,partial,BMW,X5,Automatic,Diesel,Black,SUV,"£7,432",,"£7,096","£5,734"
VN07JXO,2021-04-26,good,13.9,"65,000",2,full,Peugeot,107,Manual,Petrol,Black,Hatchback,£529,,£552,£799
MJ61VHA,2021-04-26,good,9.4,"58,000",4,partial,Mercedes-Benz,E Class,Automatic,Diesel,Silver,Convertible,"£7,849",,"£7,840","£6,721"
YE13RXP,2021-04-26,poor,7.9,"57,000",2,none,Nissan,Juke,Manual,Petrol,White,SUV,"£3,317",,"£1,919","£2,749"
BN60EFA,2021-04-26,average,10.6,"86,000",4,partial,Ford,Mondeo,Manual,Diesel,Black,Hatchback,"£1,453",,"£1,201","£1,269"
BF64VTZ,2021-04-26,good,6.6,"96,000",2,full,Ford,Focus,Manual,Diesel,Black,Hatchback,"£2,978",,"£2,694","£2,961"
GF13VFD,2021-04-26,good,7.8,"57,000",1,partial,Ford,Mondeo,Manual,Diesel,Blue,Hatchback,"£3,810",,"£2,560","£3,337"
CK62EHX,2021-04-26,average,8.4,"70,244",1,full,Ford,Grand C-Max,Manual,Petrol,Silver,MPV,"£3,178",,"£2,784","£2,937"
DG62AYT,2021-04-26,average,8.4,"50,000",2,full,Vauxhall,Corsa,Manual,Petrol,Grey,Hatchback,"£1,915",,"£1,596","£1,809"
KS08NYC,2021-04-26,average,13,"73,450",2,partial,Peugeot,207 CC,Manual,Petrol,Black,Convertible,£453,,£473,£493
GK57RGX,2021-04-26,average,13.3,"110,000",3,partial,Audi,A4 Avant,Manual,Diesel,Silver,Estate,"£2,427",,"£1,955","£1,927"
MF12XZD,2021-04-26,good,9,"116,541",1,partial,Volkswagen,Golf,Manual,Diesel,White,Hatchback,"£2,544",,"£2,010","£2,679"
NL64FLP,2021-04-26,poor,6.6,"74,999",1,partial,Mazda,Mazda6,Manual,Diesel,Red,Saloon,"£5,255",,"£4,801","£3,924"
AF60SPX,2021-04-26,average,10.7,"157,350",2,full,Volvo,V50,Manual,Diesel,Grey,Estate,"£1,227",,"£1,054","£1,175"
FX61XBV,2021-04-26,average,9.7,"94,000",2,partial,Ford,Fiesta,Manual,Petrol,White,Hatchback,"£1,813",,"£1,078","£1,504"
BX15ZKM,2021-04-26,good,6.1,"68,000",1,full,Land Rover,Range Rover Evoque,Manual,Diesel,Black,SUV,"£11,351",,"£11,360","£10,951"
HG08FWO,2021-04-26,poor,13.1,"114,660",2,full,Honda,Civic,Manual,Petrol,Grey,Hatchback,£596,,£445,£587
AV64OHL,2021-04-26,good,6.4,"66,000",1,full,Volkswagen,Golf,Manual,Diesel,Silver,Hatchback,"£5,693",,"£5,515","£5,593"
EY06HNH,2021-04-26,poor,15.2,"111,000",4,partial,Ford,Fiesta,Manual,Petrol,Purple,Hatchback,£204,,£292,£235
WJ10BYT,2021-04-26,poor,11.1,"70,000",2,none,Renault,Megane,Manual,Petrol,Silver,Hatchback,"£1,078",,£526,£752
DG10MMF,2021-04-26,poor,11.1,"103,400",1,partial,Citroen,C1,Manual,Petrol,Blue,Hatchback,£482,,£304,£493
SG16XNK,2021-04-26,good,5.1,"152,000",3,partial,Audi,A4,Automatic,Diesel,Grey,Saloon,"£5,908",,"£5,260","£5,640"
FD59NKG,2021-04-26,average,11.3,"57,300",0,full,Hyundai,i10,Automatic,Petrol,Grey,Hatchback,"£1,991",,"£1,926","£2,044"
SP12THZ,2021-04-26,poor,9.1,"58,000",2,partial,Ford,C-Max,Manual,Petrol,Brown,MPV,"£2,581",,"£1,777","£1,950"
LV64OPK,2021-04-26,good,6.5,"38,000",1,partial,Fiat,500,Manual,Petrol,White,Hatchback,"£3,143",,"£2,775","£3,055"
LT64KKE,2021-04-26,good,6.2,"63,093",2,full,Vauxhall,Zafira Tourer,Manual,Diesel,Silver,MPV,"£5,341",,"£5,282","£4,794"
VO09HLJ,2021-04-26,average,12.1,"94,000",3,full,MINI,Hatch,Manual,Petrol,Red,Hatchback,"£1,038",,£611,£963
HV11PYT,2021-04-26,poor,10,"85,000",2,partial,Vauxhall,Corsa,Manual,Petrol,Red,Hatchback,"£1,200",,£827,£869
KN14SVX,2021-04-26,good,7,"61,000",2,full,Peugeot,3008,Automatic,Diesel,Silver,SUV,"£4,620",,"£4,161","£4,394"
KP62OHY,2021-04-26,poor,8.5,"97,700",4,partial,SEAT,Leon,Manual,Diesel,Silver,Hatchback,"£2,218",,"£2,075","£1,645"
WP61TXM,2021-04-26,average,9.2,"80,000",3,full,Fiat,500,Manual,Petrol,White,Hatchback,"£1,695",,"£1,042","£1,457"
LT14MKG,2021-04-26,excellent,7.1,"52,200",1,partial,Hyundai,i40,Manual,Diesel,Black,Saloon,"£3,640",,"£4,000","£4,089"
T11JLG,2021-04-26,average,8.4,"63,133",1,partial,Vauxhall,Corsa,Manual,Petrol,Orange,Hatchback,"£2,191",,"£2,055","£1,927"
YG14LPC,2021-04-26,good,7.1,"62,500",2,full,Volkswagen,Polo,Automatic,Petrol,Black,Hatchback,"£4,708",,"£4,126","£4,700"
HN08GYW,2021-04-26,poor,13.1,"38,000",0,partial,Ford,Ka,Manual,Petrol,Silver,Hatchback,£235,,£133,£188
DN60UXS,2021-04-26,poor,10.4,"155,365",2,none,Vauxhall,Astra,Manual,Petrol,Grey,Hatchback,£150,,£168,£258
SG59XWA,2021-04-26,good,11.6,"102,500",1,partial,Saab,9-3,Manual,Diesel,Red,Saloon,"£1,142",,£756,"£1,175"
7BPB,2021-04-26,good,13.7,"69,000",3,full,Bentley,Continental,Automatic,Petrol,Black,Convertible,"£26,516",,"£22,772","£22,560"
Y23DAR,2021-04-26,excellent,7.3,"59,130",3,full,Volkswagen,Golf,Automatic,Petrol,White,Convertible,"£10,289",,"£9,000","£9,917"
CV57EFL,2021-04-26,poor,13.4,"161,000",2,none,Mazda,Mazda3,Automatic,Petrol,Purple,Hatchback,£150,,£256,£258
DE13AJO,2021-04-26,good,8,"67,000",2,partial,Vauxhall,Zafira,Manual,Diesel,Black,MPV,"£2,616",,"£1,858","£2,021"
HG56DGO,2021-04-26,good,14.6,"102,000",2,none,Peugeot,207,Manual,Petrol,Blue,Hatchback,£150,,£115,£282
EY09HEU,2021-04-26,poor,12.1,"110,000",3,partial,Vauxhall,Meriva,Manual,Petrol,Black,MPV,£150,,£173,£211
FL08UAU,2021-04-26,average,13.1,"105,000",2,partial,Volkswagen,Touran,Manual,Diesel,Grey,MPV,"£1,407",,"£1,151","£1,269"
BK64VUU,2021-04-26,average,6.2,"49,000",4,none,Vauxhall,Insignia,Manual,Diesel,Grey,Hatchback,"£4,721",,"£3,023","£3,619"
AP07SFV,2021-04-26,average,14,"143,893",4,full,Audi,A4 Cabriolet,Automatic,Diesel,Black,Convertible,"£1,300",,"£1,509","£1,668"
RV61ENJ,2021-04-26,average,9.7,"128,700",2,full,Audi,S5,Automatic,Petrol,Black,Hatchback,"£7,209",,"£6,626","£5,875"
FD12ZXG,2021-04-26,average,8.9,"126,000",4,full,Toyota,Auris,Automatic,Petrol Hybrid,Blue,Hatchback,"£2,818",,"£2,523","£2,655"
OY08FBG,2021-04-26,poor,12.8,"132,000",4,partial,Volkswagen,Touareg,Automatic,Diesel,Blue,SUV,"£2,024",,"£1,942","£1,762"
SP59XJB,2021-04-26,good,11.6,"87,000",2,partial,Ford,Kuga,Manual,Diesel,White,SUV,"£3,333",,"£2,396","£3,008"
YY09ADX,2021-04-26,average,12,"121,000",1,full,Citroen,Xsara Picasso,Manual,Diesel,Silver,MPV,£150,,£228,£329
SH59SOJ,2021-04-26,average,11.5,"53,000",1,partial,Vauxhall,Corsa,Manual,Petrol,Blue,Hatchback,£861,,£582,£846
BJ64EAF,2021-04-26,good,6.6,"45,000",1,partial,Ford,Fiesta,Manual,Petrol,Blue,Hatchback,"£3,989",,"£3,923","£3,901"
GK12AWF,2021-04-26,excellent,8.9,"71,779",2,full,Land Rover,Range Rover Evoque,Automatic,Diesel,Red,SUV,"£11,149",,"£11,180","£10,011"
YF64FKX,2021-04-26,good,6.3,"60,000",2,full,Vauxhall,Corsa,Manual,Petrol,Green,Hatchback,"£2,960",,"£2,715","£2,820"
RM12RCM,2021-04-26,good,9.2,"111,000",2,partial,Jaguar,XF,Automatic,Diesel,Black,Saloon,"£4,441",,"£3,853","£3,971"
GL13MPY,2021-04-26,poor,7.7,"70,000",2,partial,Nissan,Qashqai+2,Manual,Petrol,Red,SUV,"£5,484",,"£4,935","£4,794"
KJ57YSE,2021-04-26,poor,13.3,"55,000",3,full,Vauxhall,Corsa,Automatic,Petrol,Silver,Hatchback,"£1,660",,"£1,078","£1,104"
F12CJA,2021-04-26,average,5.1,"86,500",2,full,Mitsubishi,Outlander,Automatic,Petrol Plug-in Hybrid,Red,SUV,"£9,920",,"£10,323","£9,024"
DE62DRO,2021-04-26,good,8.4,"87,000",1,full,Ford,Focus,Manual,Petrol,Black,Hatchback,"£2,336",,"£1,909","£2,185"
AC11CAP,2021-04-26,excellent,10.2,"29,165",1,full,BMW,Z4,Automatic,Petrol,Black,Convertible,"£10,117",,"£10,615","£9,964"
MJ62GYU,2021-04-26,good,8.5,"120,000",2,partial,BMW,3 Series,Manual,Diesel,Red,Estate,"£5,067",,"£3,424","£3,901"
AF10JYE,2021-04-26,good,11.1,"140,000",1,partial,BMW,3 Series,Manual,Diesel,Blue,Saloon,"£1,196",,£983,"£1,457"
DC64CYT,2021-04-26,excellent,6.2,"41,500",2,none,Vauxhall,Corsa,Manual,Petrol,Red,Hatchback,"£3,743",,"£4,255","£3,830"
FV60AJX,2021-04-26,average,10.5,"48,850",1,partial,Volkswagen,Golf,Manual,Diesel,Grey,Hatchback,"£4,209",,"£3,516","£3,525"
LP63OCG,2021-04-26,good,7.2,"66,000",1,full,Renault,Clio,Manual,Diesel,Red,Hatchback,"£3,178",,"£2,710","£3,384"
NE11STU,2021-04-26,average,6.4,"82,000",1,partial,BMW,3 Series,Automatic,Diesel,Red,Saloon,"£5,923",,"£5,987","£6,016"
DK12WXC,2021-04-27,poor,9.2,"60,000",2,full,Vauxhall,Astra,Manual,Petrol,Black,Hatchback,"£2,264",,"£1,862","£1,551"
CP08EAE,2021-04-27,excellent,13,"139,000",4,none,Volvo,S40,Manual,Petrol,Black,Saloon,£150,,£730,£470
B6CRU,2021-04-27,good,7.7,"52,000",3,full,BMW,1 Series,Manual,Petrol,Grey,Hatchback,"£5,322",,"£4,742","£5,264"
KN64HRA,2021-04-27,good,6.6,"68,000",1,partial,Mazda,CX-5,Automatic,Diesel,Grey,SUV,"£7,456",,"£7,322","£7,332"
WR59OPY,2021-04-27,average,11.4,"83,000",1,full,Fiat,500,Manual,Petrol,White,Hatchback,"£1,375",,"£1,500","£1,269"
EK11EBZ,2021-04-27,good,9.9,"78,000",2,full,Ford,Fiesta,Manual,Petrol,Black,Hatchback,"£1,741",,"£1,620","£1,739"
R15RRP,2021-04-27,average,11.8,"65,000",2,partial,Kia,Ceed,Manual,Petrol,White,Hatchback,£808,,£626,£728
VO09HLJ,2021-04-27,good,12.1,"94,000",3,full,MINI,Hatch,Manual,Petrol,Red,Hatchback,"£1,021",,£948,"£1,057"
S18GLH,2021-04-27,good,7.5,"42,000",2,full,Citroen,DS4,Manual,Diesel,Black,Hatchback,"£4,031",,"£3,449","£3,807"
